id_ville|id_temps|id_famille_produit|id-magasin|ventes_objectif|vente_reel|ca_objectif|ca_reel|marge_objectif|marge_reel
73|74|3|55|40.00000000||97.50000000||1.08000000|
145|74|3|19|16.00000000||15.19999999||0.65000000|
161|62|3|89|5.00000000|2.00000000|147.80000000|59.10000000|0.81000000|0.40000000
197|74|3|15|36.00000000||55.60000000||1.33000000|
253|74|3|21|30.00000000||292.30000000||1.49000000|
301|62|3|83|15.00000000|16.00000000|268.60000000|286.60000000|1.74000000|1.60000000
309|74|3|9|15.00000000||4.40000000||3.68000000|
329|74|3|49|0.00000000||0.00000000||-0.05000000|
9|75|3|59|49.00000000||293.39999999||4.87999999|
13|63|3|81|12.00000000|12.00000000|373.60000000|373.60000000|2.68999999|2.39999999
17|75|3|41|26.00000000||215.40000000||0.25000000|
21|63|3|85|0.00000000|1.00000000|0.00000000|39.20000000|0.38000000|0.40000000
29|75|3|33|26.00000000||160.19999999||1.00000000|
33|75|3|53|26.00000000||216.40000000||1.12000000|
45|75|3|3|10.00000000||35.39999999||4.20000000|
57|75|3|51|7.00000000||60.00000000||1.27000000|
73|75|3|55|8.00000000||14.00000000||3.52000000|
145|75|3|19|43.00000000||296.39999999||0.00000000|
161|63|3|89|5.00000000|3.00000000|147.80000000|88.70000000|0.95999999|0.90000000
197|75|3|15|11.00000000||35.70000000||0.77000000|
253|75|3|21|20.00000000||195.30000000||1.74000000|
301|63|3|83|15.00000000|15.00000000|268.60000000|268.60000000|1.26000000|1.70000000
309|75|3|9|33.00000000||248.59999999||0.00000000|
329|75|3|49|44.00000000||129.50000000||0.32000000|
3|63|3|47|15.00000000|10.00000000|149.69999999|99.79999999|0.94999999|0.50000000
7|63|3|61|0.00000000|0.00000000|0.00000000|0.00000000|0.27000000|0.50000000
15|63|3|17|6.00000000|8.00000000|42.70000000|57.00000000|1.46000000|1.30000000
27|63|3|39|0.00000000|0.00000000|0.00000000|0.00000000|0.73999999|1.20000000
31|63|3|5|0.00000000|1.00000000|0.00000000|132.69999999|-0.02000000|0.00000000
43|75|3|87|2.00000000||7.70000000||0.70999999|
47|63|3|43|15.00000000|28.00000000|237.40000000|443.10000000|0.73999999|0.90000000
55|63|3|13|10.00000000|11.00000000|165.40000000|181.90000000|0.28999999|0.40000000
63|63|3|75|0.00000000|1.00000000|0.00000000|6.59999999|2.33999999|1.50000000
79|63|3|57|3.00000000|2.00000000|53.10000000|35.39999999|2.00999999|1.10000000
83|63|3|29|25.00000000|34.00000000|252.50000000|343.39999999|2.79000000|2.29999999
99|75|3|95|24.00000000||95.00000000||0.00000000|
111|63|3|69|5.00000000|5.00000000|235.90000000|235.90000000|2.43000000|2.39999999
143|75|3|91|30.00000000||181.30000000||0.94999999|
151|63|3|71|0.00000000|0.00000000|0.00000000|0.00000000|1.35000000|1.20000000
171|63|3|25|1.00000000|1.00000000|5.79999999|5.79999999|1.21000000|1.10000000
243|63|3|11|0.00000000|1.00000000|0.00000000|11.10000000|0.96999999|0.90000000
295|75|3|93|12.00000000||89.59999999||0.00000000|
307|63|3|7|10.00000000|11.00000000|173.69999999|191.00000000|0.27000000|0.20000000
479|63|3|63|2.00000000|3.00000000|46.70000000|70.09999999|0.42999999|0.40000000
515|63|3|1|6.00000000|4.00000000|40.50000000|27.00000000|1.15999999|1.39999999
9|76|3|59|48.00000000||248.69999999||2.83000000|
13|64|3|81|12.00000000|9.00000000|373.60000000|280.19999999|1.22000000|1.30000000
17|76|3|41|37.00000000||69.09999999||2.77000000|
21|64|3|85|0.00000000|0.00000000|0.00000000|0.00000000|0.40999999|0.80000000
29|76|3|33|50.00000000||124.59999999||0.00000000|
33|76|3|53|8.00000000||29.39999999||0.23000000|
45|76|3|3|1.00000000||9.90000000||2.27999999|
57|76|3|51|14.00000000||68.29999999||-0.46999999|
73|76|3|55|37.00000000||54.50000000||0.00000000|
145|76|3|19|36.00000000||224.59999999||-0.19000000|
161|64|3|89|5.00000000|4.00000000|147.80000000|118.20000000|1.28000000|1.10000000
197|76|3|15|24.00000000||106.20000000||0.34000000|
253|76|3|21|9.00000000||60.10000000||0.02000000|
301|64|3|83|20.00000000|17.00000000|358.19999999|304.50000000|0.68000000|1.20000000
309|76|3|9|11.00000000||50.00000000||0.55000000|
329|76|3|49|35.00000000||32.29999999||-1.20000000|
3|64|3|47|30.00000000|32.00000000|299.39999999|319.39999999|0.73999999|0.59999999
7|64|3|61|0.00000000|1.00000000|0.00000000|93.70000000|0.28000000|0.29999999
15|64|3|17|6.00000000|5.00000000|42.70000000|35.60000000|0.71999999|0.59999999
27|64|3|39|0.00000000|0.00000000|0.00000000|0.00000000|4.03000000|1.89999999
31|64|3|5|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000
43|76|3|87|25.00000000||0.69999999||0.00000000|
47|64|3|43|15.00000000|14.00000000|237.40000000|221.59999999|0.72999999|1.00000000
55|64|3|13|10.00000000|6.00000000|165.40000000|99.20000000|0.41999999|0.50000000
63|64|3|75|0.00000000|1.00000000|0.00000000|6.59999999|1.04000000|1.10000000
79|64|3|57|3.00000000|5.00000000|53.10000000|88.50000000|2.91000000|3.10000000
83|64|3|29|50.00000000|45.00000000|504.89999999|454.39999999|2.25000000|3.00000000
99|76|3|95|40.00000000||234.50000000||-0.51000000|
111|64|3|69|10.00000000|7.00000000|471.80000000|330.19999999|0.87000000|1.00000000
143|76|3|91|49.00000000||9.69999999||0.82999999|
151|64|3|71|0.00000000|1.00000000|0.00000000|56.10000000|1.10000000|1.70000000
171|64|3|25|2.00000000|1.00000000|11.60000000|5.79999999|2.41999999|3.39999999
243|64|3|11|0.00000000|0.00000000|0.00000000|0.00000000|0.70999999|0.69999999
295|76|3|93|50.00000000||202.50000000||1.14999999|
307|64|3|7|10.00000000|11.00000000|173.69999999|191.00000000|0.04000000|0.10000000
479|64|3|63|3.00000000|2.00000000|70.09999999|46.70000000|0.17999999|0.29999999
515|64|3|1|2.00000000|5.00000000|13.50000000|33.79999999|1.27000000|1.60000000
9|77|3|59|22.00000000||184.09999999||0.00000000|
13|65|3|81|0.00000000|0.00000000|0.00000000|0.00000000|2.16999999|3.20000000
17|77|3|41|0.00000000||0.00000000||4.20000000|
21|65|3|85|2.00000000|3.00000000|78.40000000|117.50000000|0.71999999|0.59999999
29|77|3|33|46.00000000||374.69999999||-0.48999999|
33|77|3|53|36.00000000||347.60000000||0.60999999|
45|77|3|3|50.00000000||292.50000000||0.54000000|
57|77|3|51|28.00000000||121.59999999||3.79999999|
73|77|3|55|36.00000000||163.90000000||0.85999999|
145|77|3|19|26.00000000||35.70000000||2.89999999|
161|65|3|89|1.00000000|1.00000000|29.60000000|29.60000000|0.70999999|0.80000000
197|77|3|15|12.00000000||23.39999999||0.91000000|
253|77|3|21|11.00000000||22.80000000||-0.22000000|
301|65|3|83|5.00000000|4.00000000|89.50000000|71.59999999|0.81999999|1.50000000
309|77|3|9|0.00000000||0.00000000||2.20000000|
329|77|3|49|13.00000000||44.50000000||2.31999999|
3|65|3|47|21.00000000|32.00000000|209.59999999|319.39999999|0.39000000|0.59999999
7|65|3|61|2.00000000|1.00000000|187.40000000|93.70000000|0.53000000|0.59999999
15|65|3|17|14.00000000|9.00000000|99.70000000|64.09999999|0.45000000|0.59999999
27|65|3|39|3.00000000|4.00000000|119.09999999|158.90000000|2.14000000|1.89999999
31|65|3|5|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000
43|77|3|87|48.00000000||439.30000000||0.94999999|
47|65|3|43|17.00000000|16.00000000|269.10000000|253.19999999|0.40999999|0.59999999
55|65|3|13|15.00000000|11.00000000|248.09999999|181.90000000|0.23999999|0.40000000
63|65|3|75|0.00000000|0.00000000|0.00000000|0.00000000|1.23000000|1.70000000
79|65|3|57|10.00000000|6.00000000|177.09999999|106.20000000|0.75000000|0.80000000
83|65|3|29|0.00000000|0.00000000|0.00000000|0.00000000|1.01000000|1.39999999
99|77|3|95|15.00000000||8.00000000||-0.23999999|
111|65|3|69|1.00000000|0.00000000|47.20000000|0.00000000|1.09000000|1.10000000
143|77|3|91|49.00000000||59.60000000||0.62000000|
151|65|3|71|0.00000000|1.00000000|0.00000000|56.10000000|1.02000000|0.90000000
171|65|3|25|42.00000000|32.00000000|243.80000000|185.69999999|1.10000000|2.20000000
243|65|3|11|49.00000000|62.00000000|543.29999999|687.50000000|0.44000000|0.40000000
295|77|3|93|6.00000000||7.20000000||-0.44000000|
307|65|3|7|15.00000000|14.00000000|260.50000000|243.09999999|0.20999999|0.20000000
479|65|3|63|6.00000000|6.00000000|140.09999999|140.09999999|0.56000000|0.59999999
515|65|3|1|62.00000000|74.00000000|418.60000000|499.69999999|2.46000000|2.00000000
3|66|3|47|29.00000000|26.00000000|289.50000000|259.50000000|0.34000000|0.59999999
7|66|3|61|2.00000000|3.00000000|187.40000000|281.10000000|0.46000000|0.69999999
15|66|3|17|37.00000000|67.00000000|263.60000000|477.19999999|1.26000000|1.00000000
27|66|3|39|3.00000000|3.00000000|119.09999999|119.09999999|1.07000000|1.30000000
31|66|3|5|0.00000000|1.00000000|0.00000000|132.69999999|0.01000000|0.00000000
43|78|3|87|19.00000000||83.59999999||0.67000000|
47|66|3|43|18.00000000|35.00000000|284.89999999|553.89999999|0.68000000|0.59999999
55|66|3|13|5.00000000|5.00000000|82.70000000|82.70000000|0.34999999|0.59999999
63|66|3|75|0.00000000|0.00000000|0.00000000|0.00000000|2.31999999|1.30000000
79|66|3|57|14.00000000|18.00000000|247.90000000|318.69999999|0.88000000|1.20000000
83|66|3|29|0.00000000|1.00000000|0.00000000|10.10000000|1.95000000|1.89999999
99|78|3|95|33.00000000||259.19999999||0.40000000|
111|66|3|69|0.00000000|1.00000000|0.00000000|47.20000000|1.58000000|1.30000000
143|78|3|91|21.00000000||136.00000000||3.62000000|
151|66|3|71|0.00000000|0.00000000|0.00000000|0.00000000|1.02000000|0.69999999
171|66|3|25|25.00000000|23.00000000|145.09999999|133.50000000|2.24000000|2.20000000
243|66|3|11|20.00000000|14.00000000|221.80000000|155.19999999|0.44000000|0.69999999
295|78|3|93|36.00000000||40.29999999||1.95000000|
307|66|3|7|6.00000000|3.00000000|104.20000000|52.10000000|0.16000000|0.20000000
479|66|3|63|6.00000000|6.00000000|140.09999999|140.09999999|0.40000000|0.29999999
515|66|3|1|41.00000000|70.00000000|276.80000000|472.69999999|1.12000000|1.10000000
9|78|3|59|26.00000000||122.30000000||0.00000000|
13|66|3|81|0.00000000|0.00000000|0.00000000|0.00000000|1.07000000|1.10000000
17|78|3|41|37.00000000||314.19999999||2.43000000|
21|66|3|85|2.00000000|1.00000000|78.40000000|39.20000000|0.37000000|0.29999999
29|78|3|33|28.00000000||256.10000000||0.51000000|
33|78|3|53|0.00000000||0.00000000||-0.80000000|
45|78|3|3|18.00000000||42.10000000||2.00000000|
57|78|3|51|3.00000000||10.30000000||0.69999999|
73|78|3|55|48.00000000||196.69999999||1.77000000|
145|78|3|19|30.00000000||56.89999999||0.00000000|
161|66|3|89|1.00000000|2.00000000|29.60000000|59.10000000|0.50000000|0.69999999
197|78|3|15|40.00000000||25.19999999||0.41999999|
253|78|3|21|45.00000000||121.90000000||-0.88000000|
301|66|3|83|11.00000000|13.00000000|197.00000000|232.80000000|0.56999999|0.80000000
309|78|3|9|45.00000000||21.80000000||1.50000000|
329|78|3|49|41.00000000||194.09999999||-1.86000000|
9|79|3|59|27.00000000||162.80000000||2.73000000|
13|67|3|81|0.00000000|0.00000000|0.00000000|0.00000000|2.47000000|2.00000000
17|79|3|41|37.00000000||46.70000000||0.95999999|
21|67|3|85|2.00000000|3.00000000|78.40000000|117.50000000|0.34999999|0.40000000
29|79|3|33|2.00000000||19.19999999||0.00000000|
33|79|3|53|0.00000000||0.00000000||0.00000000|
45|79|3|3|0.00000000||0.00000000||-0.76000000|
57|79|3|51|50.00000000||429.19999999||0.73999999|
73|79|3|55|38.00000000||70.70000000||-0.48999999|
145|79|3|19|38.00000000||123.09999999||0.23999999|
161|67|3|89|2.00000000|2.00000000|59.10000000|59.10000000|1.12999999|0.59999999
197|79|3|15|5.00000000||21.10000000||1.56000000|
253|79|3|21|39.00000000||359.00000000||2.85000000|
301|67|3|83|5.00000000|4.00000000|89.50000000|71.59999999|2.25999999|2.00000000
309|79|3|9|37.00000000||339.30000000||1.39999999|
329|79|3|49|48.00000000||56.89999999||0.00000000|
3|67|3|47|23.00000000|18.00000000|229.59999999|179.69999999|0.34000000|0.40000000
7|67|3|61|0.00000000|1.00000000|0.00000000|93.70000000|1.37999999|0.69999999
15|67|3|17|13.00000000|23.00000000|92.59999999|163.80000000|0.81000000|1.20000000
27|67|3|39|2.00000000|5.00000000|79.40000000|198.59999999|0.66000000|0.90000000
31|67|3|5|0.00000000|0.00000000|0.00000000|0.00000000|0.01000000|0.00000000
43|79|3|87|49.00000000||387.89999999||-0.66000000|
47|67|3|43|5.00000000|4.00000000|79.09999999|63.29999999|1.70000000|2.00000000
55|67|3|13|4.00000000|7.00000000|66.20000000|115.80000000|0.27000000|0.29999999
63|67|3|75|0.00000000|0.00000000|0.00000000|0.00000000|1.73000000|1.39999999
79|67|3|57|13.00000000|8.00000000|230.19999999|141.69999999|4.13999999|2.10000000
83|67|3|29|0.00000000|0.00000000|0.00000000|0.00000000|0.81999999|0.90000000
99|79|3|95|7.00000000||16.80000000||0.55000000|
111|67|3|69|0.00000000|0.00000000|0.00000000|0.00000000|1.97000000|1.10000000
143|79|3|91|8.00000000||27.19999999||0.00000000|
151|67|3|71|0.00000000|0.00000000|0.00000000|0.00000000|0.84999999|1.10000000
171|67|3|25|12.00000000|8.00000000|69.70000000|46.39999999|3.33999999|2.00000000
243|67|3|11|35.00000000|43.00000000|388.10000000|476.80000000|0.20999999|0.29999999
295|79|3|93|41.00000000||356.10000000||3.47000000|
307|67|3|7|11.00000000|6.00000000|191.00000000|104.20000000|0.12000000|0.10000000
479|67|3|63|7.00000000|4.00000000|163.50000000|93.40000000|0.28000000|0.20000000
515|67|3|1|28.00000000|33.00000000|189.09999999|222.80000000|0.85999999|0.80000000
3|68|3|47|33.00000000|42.00000000|329.39999999|419.19999999|0.63000000|0.90000000
7|68|3|61|3.00000000|2.00000000|281.10000000|187.40000000|0.44000000|0.59999999
15|68|3|17|33.00000000|37.00000000|235.09999999|263.60000000|2.60000000|1.60000000
27|68|3|39|3.00000000|3.00000000|119.09999999|119.09999999|0.96999999|1.80000000
31|68|3|5|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000|0.00000000
43|80|3|87|37.00000000||27.00000000||1.08000000|
47|68|3|43|21.00000000|26.00000000|332.39999999|411.50000000|1.62999999|1.00000000
55|68|3|13|17.00000000|9.00000000|281.19999999|148.80000000|0.85999999|0.40000000
63|68|3|75|0.00000000|1.00000000|0.00000000|6.59999999|1.17999999|1.39999999
79|68|3|57|16.00000000|14.00000000|283.30000000|247.90000000|2.85999999|3.00000000
83|68|3|29|0.00000000|0.00000000|0.00000000|0.00000000|2.06999999|1.70000000
99|80|3|95|21.00000000||123.80000000||-0.94999999|
111|68|3|69|2.00000000|2.00000000|94.40000000|94.40000000|0.46999999|0.90000000
143|80|3|91|15.00000000||148.80000000||0.00000000|
151|68|3|71|0.00000000|0.00000000|0.00000000|0.00000000|0.44000000|0.90000000
171|68|3|25|50.00000000|89.00000000|290.19999999|516.60000000|1.65999999|2.89999999
243|68|3|11|51.00000000|35.00000000|565.50000000|388.10000000|0.51000000|0.29999999
295|80|3|93|5.00000000||13.30000000||0.00000000|
307|68|3|7|22.00000000|12.00000000|382.10000000|208.40000000|0.05999999|0.10000000
479|68|3|63|12.00000000|15.00000000|280.30000000|350.30000000|0.39000000|0.29999999
515|68|3|1|41.00000000|27.00000000|276.80000000|182.30000000|0.78000000|0.80000000
9|80|3|59|15.00000000||74.00000000||1.77000000|
13|68|3|81|0.00000000|0.00000000|0.00000000|0.00000000|1.73000000|2.00000000
17|80|3|41|3.00000000||1.10000000||0.00000000|
21|68|3|85|6.00000000|3.00000000|235.09999999|117.50000000|0.20999999|0.29999999
29|80|3|33|16.00000000||157.19999999||3.00000000|
33|80|3|53|36.00000000||218.40000000||0.20000000|
45|80|3|3|14.00000000||45.70000000||1.34000000|
57|80|3|51|11.00000000||16.89999999||2.68999999|
73|80|3|55|27.00000000||16.60000000||-1.48000000|
145|80|3|19|41.00000000||356.19999999||2.21000000|
161|68|3|89|3.00000000|6.00000000|88.70000000|177.30000000|0.44000000|0.50000000
197|80|3|15|13.00000000||24.89999999||-0.56999999|
253|80|3|21|29.00000000||258.00000000||0.97999999|
301|68|3|83|9.00000000|9.00000000|161.19999999|161.19999999|1.71000000|1.60000000
309|80|3|9|17.00000000||67.09999999||2.96000000|
329|80|3|49|18.00000000||157.50000000||-1.99000000|
3|69|3|47|30.00000000|27.00000000|299.39999999|269.50000000|0.17999999|0.20000000
7|69|3|61|1.00000000|0.00000000|93.70000000|0.00000000|1.06000000|1.10000000
15|69|3|17|25.00000000|20.00000000|178.09999999|142.50000000|0.70999999|1.30000000
27|69|3|39|2.00000000|4.00000000|79.40000000|158.90000000|3.02999999|1.50000000
31|69|3|5|0.00000000|0.00000000|0.00000000|0.00000000|0.01000000|0.00000000
43|81|3|87|42.00000000||327.39999999||1.50000000|
47|69|3|43|10.00000000|9.00000000|158.30000000|142.40000000|0.54000000|0.50000000
55|69|3|13|13.00000000|16.00000000|215.00000000|264.60000000|0.45000000|0.50000000
63|69|3|75|29.00000000|24.00000000|191.00000000|158.09999999|3.04999999|3.29999999
79|69|3|57|5.00000000|3.00000000|88.50000000|53.10000000|1.26000000|1.10000000
83|69|3|29|15.00000000|11.00000000|151.50000000|111.09999999|0.90000000|1.80000000
99|81|3|95|28.00000000||143.40000000||-1.85000000|
111|69|3|69|5.00000000|5.00000000|235.90000000|235.90000000|0.60999999|1.00000000
143|81|3|91|8.00000000||64.20000000||0.72999999|
151|69|3|71|0.00000000|0.00000000|0.00000000|0.00000000|0.89000000|0.80000000
171|69|3|25|2.00000000|2.00000000|11.60000000|11.60000000|1.71000000|1.89999999
243|69|3|11|12.00000000|13.00000000|133.09999999|144.09999999|0.17000000|0.20000000
295|81|3|93|44.00000000||252.80000000||0.77000000|
307|69|3|7|9.00000000|7.00000000|156.30000000|121.59999999|0.04000000|0.10000000
479|69|3|63|11.00000000|12.00000000|256.89999999|280.30000000|0.20000000|0.20000000
515|69|3|1|27.00000000|17.00000000|182.30000000|114.80000000|1.29000000|1.00000000
9|81|3|59|17.00000000||62.79999999||-0.20000000|
13|69|3|81|18.00000000|14.00000000|560.29999999|435.80000000|1.88999999|1.80000000
17|81|3|41|40.00000000||356.10000000||-1.09000000|
21|69|3|85|0.00000000|1.00000000|0.00000000|39.20000000|0.41999999|0.59999999
29|81|3|33|30.00000000||94.79999999||1.09000000|
33|81|3|53|6.00000000||8.59999999||0.92000000|
45|81|3|3|34.00000000||258.10000000||0.72999999|
57|81|3|51|41.00000000||22.80000000||-0.63000000|
73|81|3|55|39.00000000||149.69999999||0.67000000|
145|81|3|19|33.00000000||294.69999999||0.44000000|
161|69|3|89|4.00000000|3.00000000|118.20000000|88.70000000|0.28999999|0.40000000
197|81|3|15|27.00000000||116.30000000||0.91000000|
253|81|3|21|25.00000000||23.30000000||3.52000000|
301|69|3|83|6.00000000|6.00000000|107.50000000|107.50000000|2.68000000|1.70000000
309|81|3|9|7.00000000||25.80000000||0.46999999|
329|81|3|49|45.00000000||210.30000000||2.02000000|
9|82|3|59|35.00000000||173.80000000||-1.70000000|
13|70|3|81|11.00000000|15.00000000|342.39999999|467.00000000|1.64999999|2.20000000
17|82|3|41|18.00000000||141.00000000||3.08000000|
21|70|3|85|0.00000000|0.00000000|0.00000000|0.00000000|0.45000000|0.69999999
29|82|3|33|2.00000000||2.20000000||3.02000000|
33|82|3|53|32.00000000||206.19999999||1.15999999|
45|82|3|3|11.00000000||38.60000000||-0.92000000|
57|82|3|51|13.00000000||48.00000000||2.29999999|
73|82|3|55|17.00000000||106.80000000||0.00000000|
145|82|3|19|39.00000000||226.80000000||1.13999999|
161|70|3|89|13.00000000|16.00000000|384.19999999|472.80000000|0.53000000|0.59999999
197|82|3|15|4.00000000||35.60000000||2.25000000|
253|82|3|21|41.00000000||258.89999999||1.15999999|
301|70|3|83|5.00000000|7.00000000|89.50000000|125.40000000|0.90000000|1.00000000
309|82|3|9|10.00000000||37.50000000||2.50999999|
329|82|3|49|28.00000000||190.50000000||-0.07000000|
3|70|3|47|44.00000000|40.00000000|439.19999999|399.19999999|0.26000000|0.20000000
7|70|3|61|3.00000000|2.00000000|281.10000000|187.40000000|0.46000000|0.50000000
15|70|3|17|21.00000000|17.00000000|149.59999999|121.09999999|1.03000000|1.10000000
27|70|3|39|2.00000000|2.00000000|79.40000000|79.40000000|1.62999999|1.60000000
31|70|3|5|0.00000000|1.00000000|0.00000000|132.69999999|0.00000000|0.00000000
43|82|3|87|33.00000000||309.10000000||3.87999999|
47|70|3|43|4.00000000|4.00000000|63.29999999|63.29999999|0.58999999|0.50000000
55|70|3|13|18.00000000|14.00000000|297.69999999|231.50000000|0.46999999|0.50000000
63|70|3|75|14.00000000|25.00000000|92.20000000|164.69999999|2.68000000|2.29999999
79|70|3|57|7.00000000|5.00000000|124.00000000|88.50000000|1.02000000|1.60000000
83|70|3|29|23.00000000|15.00000000|232.30000000|151.50000000|1.79000000|1.80000000
99|82|3|95|30.00000000||122.50000000||-0.69999999|
111|70|3|69|3.00000000|2.00000000|141.50000000|94.40000000|0.50000000|0.69999999
143|82|3|91|40.00000000||335.39999999||0.00000000|
151|70|3|71|0.00000000|0.00000000|0.00000000|0.00000000|0.56999999|0.80000000
171|70|3|25|1.00000000|0.00000000|5.79999999|0.00000000|1.55000000|1.50000000
243|70|3|11|7.00000000|8.00000000|77.59999999|88.70000000|0.17999999|0.29999999
295|82|3|93|44.00000000||272.89999999||0.11000000|
307|70|3|7|17.00000000|18.00000000|295.19999999|312.60000000|0.10000000|0.10000000
479|70|3|63|15.00000000|18.00000000|350.30000000|420.39999999|0.20000000|0.20000000
515|70|3|1|32.00000000|57.00000000|216.09999999|384.89999999|1.00000000|1.39999999
9|83|3|59|28.00000000||185.40000000||0.53000000|
13|71|3|81|28.00000000|17.00000000|871.60000000|529.20000000|3.75999999|2.89999999
17|83|3|41|22.00000000||195.90000000||0.00000000|
21|71|3|85|0.00000000|0.00000000|0.00000000|0.00000000|0.78000000|0.90000000
29|83|3|33|26.00000000||49.39999999||1.88999999|
33|83|3|53|13.00000000||23.19999999||-1.62000000|
45|83|3|3|22.00000000||129.19999999||0.34999999|
57|83|3|51|26.00000000||245.19999999||2.58000000|
